,Unnamed: 0,DATE,DocumentIdentifier,V2Tone,Themes,Organizations,FinalThemes,dates
0,4,20230417121500,https://www.dailypioneer.com/2023/state-editions/cm--his-associates-shouldn---t-be-shown-any-support--maken.html,-3.78151260504202,GENERAL_GOVERNMENT;USPEC_POLITICS_GENERAL1;EPU_POLICY;EPU_POLICY_CONGRESS;TAX_FNCACT;TAX_FNCACT_CHIEF;CRISISLEX_CRISISLEXREC;TAX_FNCACT_CONVENER;CORRUPTION;TAX_FNCACT_MINISTER;EPU_POLICY_GOVERNMENT;LEADER;TAX_FNCACT_PRESIDENT;TAX_FNCACT_LEADER;ELECTION;MEDIA_SOCIAL;UNGP_FORESTS_RIVERS_OCEANS;EPU_POLICY_POLITICAL;TAX_FNCACT_LEADERS;TAX_FNCACT_POLITICAL_LEADERS;,['twitter inc'],"GENERAL_GOVERNMENT,CORRUPTION,ELECTION",2023-04-17 12:15:00
1,13,20230417121500,https://www.dailystar.co.uk/showbiz/bgts-amanda-holden-sizzles-slips-29728834,4.52961672473868,TAX_FNCACT;TAX_FNCACT_JUDGE;TAX_FNCACT_PRESENTER;TAX_FNCACT_DESIGNER;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_UNIVERSITIES;,['instagram'],EDUCATION,2023-04-17 12:15:00
2,24,20230417121500,https://www.erienewsnow.com/story/48729221/5-things-to-know-for-april-17-dominion-trial-mass-shooting-starship-scotus-sudan,-2.26876090750436,TAX_ETHNICITY;TAX_ETHNICITY_PACIFIC_ISLANDER;TAX_ETHNICITY_AMERICAN;TAX_ETHNICITY_NATIVE_AMERICAN;ETH_INDIGINOUS;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;TAX_ETHNICITY_AMERICANS;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_FOX;DELAY;USPEC_UNCERTAINTY1;CRISISLEX_C04_LOGISTICS_TRANSPORT;ELECTION;TAX_FNCACT;TAX_FNCACT_JUDGE;TAX_FNCACT_ANALYSTS;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_ALABAMA;CRISISLEX_T01_CAUTION_ADVICE;USPEC_POLITICS_GENERAL1;KILL;CRISISLEX_CRISISLEXREC;CRISISLEX_T02_INJURED;CRISISLEX_T03_DEAD;WOUND;CRISISLEX_C03_WELLBEING_HEALTH;TAX_FNCACT_OFFICIALS;WB_1428_INJURY;WB_1406_DISEASES;WB_621_HEALTH_NUTRITION_AND_POPULATION;WB_1427_NON_COMMUNICABLE_DISEASE_AND_INJURY;UNGP_FORESTS_RIVERS_OCEANS;WB_2433_CONFLICT_AND_VIOLENCE;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;UNGP_CRIME_VIOLENCE;TAX_WEAPONS;TAX_WEAPONS_GUN;MANMADE_DISASTER_IMPLIED;TAX_FNCACT_CEO;CRISISLEX_T11_UPDATESSYMPATHY;TAX_WORLDMAMMALS_HUMAN;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_840_JUSTICE;WB_2081_FINANCIAL_DISCLOSURE;WB_2019_ANTI_CORRUPTION_LEGISLATION;WB_2021_INCOME_AND_ASSET_DISCLOSURE;WB_831_GOVERNANCE;WB_832_ANTI_CORRUPTION;WB_1920_FINANCIAL_SECTOR_DEVELOPMENT;WB_328_FINANCIAL_INTEGRITY;ECON_HOUSING_PRICES;TAX_POLITICAL_PARTY;TAX_POLITICAL_PARTY_REPUBLICAN;TAX_WORLDBIRDS;TAX_WORLDBIRDS_CROW;MARITIME_INCIDENT;MARITIME;EPU_POLICY_CONGRESS;WB_2048_COMPENSATION_CAREERS_AND_INCENTIVES;WB_723_PUBLIC_ADMINISTRATION;WB_724_HUMAN_RESOURCES_FOR_PUBLIC_SECTOR;WB_2089_ETHICS_AND_CODES_OF_CONDUCT;WB_2449_PARAMILITARIES;WB_2445_NON_STATE_SECURITY_ACTORS;MILITARY;GENERAL_HEALTH;MEDICAL;TAX_FNCACT_DOCTORS;ARMEDCONFLICT;CEASEFIRE;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_AIRPORT;WB_135_TRANSPORT;WB_1803_TRANSPORT_INFRASTRUCTURE;WB_1804_AIRPORTS;ECON_DEVELOPMENTORGS;ECON_DEVELOPMENTORGS_WORLD_HEALTH_ORGANIZATION;TAX_AIDGROUPS;TAX_AIDGROUPS_WORLD_HEALTH_ORGANIZATION;WB_635_PUBLIC_HEALTH;WB_2165_HEALTH_EMERGENCIES;WB_1324_EMERGENCY_MEDICAL_SERVICES;TAX_WORLDMAMMALS_BEAR;TAX_FNCACT_MAN;PROTEST;STRIKE;TAX_FNCACT_WOMAN;TAX_DISEASE;TAX_DISEASE_CANCER;WB_1431_CANCER;TAX_WORLDLANGUAGES_DARI;LEADER;TAX_FNCACT_PRESIDENT;ECON_CENTRALBANK;WB_1235_CENTRAL_BANKS;WB_318_FINANCIAL_ARCHITECTURE_AND_BANKING;WB_1234_BANKING_INSTITUTIONS;USPEC_POLICY1;EPU_POLICY_CENTRAL_BANK;EPU_CATS_MONETARY_POLICY;ECON_DEBT;WB_1104_MACROECONOMIC_VULNERABILITY_AND_DEBT;WB_450_DEBT;EPU_CATS_DEBT_CEILING_GOV_SHUTDOWN;EPU_CATS_FISCAL_POLICY;EPU_ECONOMY;EPU_ECONOMY_HISTORIC;TAX_FNCACT_SPEAKER;TAX_WORLDMAMMALS_CHEETAH;,"['netflix inc', 'discovery inc']","TAX_ETHNICITY,ETH_INDIGINOUS,GENERAL_GOVERNMENT,DELAY,ELECTION,KILL,WOUND,TAX_WEAPONS,MANMADE_DISASTER_IMPLIED,ECON_HOUSING_PRICES,MARITIME_INCIDENT,MARITIME,MILITARY,GENERAL_HEALTH,MEDICAL,ARMEDCONFLICT,CEASEFIRE,PROTEST,STRIKE,TAX_DISEASE,ECON_DEBT",2023-04-17 12:15:00
3,50,20230417121500,https://www.moultonadvertiser.com/news/state/article_c1c4fdb3-b299-5d97-a4ee-b80aead8b4e3.html,-0.76670317634173,TAX_FNCACT;TAX_FNCACT_KING;SELF_IDENTIFIED_HUMAN_RIGHTS;UNGP_POLITICAL_FREEDOMS;TAX_FNCACT_LEADERS;TAX_ETHNICITY;TAX_ETHNICITY_BLACK;MOVEMENT_GENERAL;MOVEMENT_SOCIAL;MOVEMENT_OTHER;UNGP_FORESTS_RIVERS_OCEANS;TAX_FNCACT_DENTIST;DISCRIMINATION;DISCRIMINATION_RACE;DISCRIMINATION_RACE_RACIST;TAX_WORLDBIRDS;TAX_WORLDBIRDS_CROW;LEGISLATION;LEADER;TAX_FNCACT_PRESIDENT;USPEC_POLITICS_GENERAL1;CRISISLEX_T11_UPDATESSYMPATHY;TAX_ECON_PRICE;TAX_ETHNICITY_AMERICAN;TAX_FNCACT_INDUSTRIALIST;EPU_POLICY;EPU_POLICY_LAW;PUBLIC_TRANSPORT;TAX_FNCACT_MAN;KILL;ASSASSINATION;TAX_FNCACT_CHIEF;TAX_FNCACT_EXECUTIVE;TAX_FNCACT_CHIEF_EXECUTIVE;EDUCATION;WB_470_EDUCATION;EPU_ECONOMY;EPU_ECONOMY_HISTORIC;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_ALABAMA;TAX_FNCACT_TROOPER;PROTEST;ELECTION;SECURITY_SERVICES;TAX_FNCACT_POLICE;CRISISLEX_C07_SAFETY;MARITIME;MEDIA_MSM;TAX_ETHNICITY_AMERICANS;TAX_FNCACT_HISTORIAN;TAX_FNCACT_CHILDREN;DEMOCRACY;,['ford motor co'],"SELF_IDENTIFIED_HUMAN_RIGHTS,TAX_ETHNICITY,MOVEMENT_GENERAL,MOVEMENT_SOCIAL,MOVEMENT_OTHER,DISCRIMINATION,LEGISLATION,PUBLIC_TRANSPORT,KILL,ASSASSINATION,EDUCATION,PROTEST,ELECTION,SECURITY_SERVICES,MARITIME,DEMOCRACY",2023-04-17 12:15:00
4,60,20230417121500,http://www.chicagotribune.com/politics/ct-child-vlogger-compensation-legislation-20230417-qwqvvdngavc23c73ibd2hjhc4q-story.html,-0.244648318042813,EDUCATION;MANMADE_DISASTER_IMPLIED;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_SCHOOL;SOC_POINTSOFINTEREST_HIGH_SCHOOL;TAX_FNCACT;TAX_FNCACT_CHILDREN;MEDIA_SOCIAL;LEGISLATION;EPU_ECONOMY_HISTORIC;USPEC_POLITICS_GENERAL1;USPEC_POLICY1;EPU_POLICY;EPU_POLICY_LEGISLATION;TAX_FNCACT_CHILD;UNGP_FORESTS_RIVERS_OCEANS;TAX_POLITICAL_PARTY;TAX_POLITICAL_PARTY_DEMOCRAT;CRISISLEX_T11_UPDATESSYMPATHY;SOC_POINTSOFINTEREST_UNIVERSITY;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_2048_COMPENSATION_CAREERS_AND_INCENTIVES;WB_723_PUBLIC_ADMINISTRATION;WB_724_HUMAN_RESOURCES_FOR_PUBLIC_SECTOR;TAX_FNCACT_TEACHER;EPU_POLICY_POLICY;LEADER;TAX_FNCACT_LAWMAKERS;EPU_POLICY_LAWMAKERS;TAX_FNCACT_ASSEMBLYMEN;TAX_FNCACT_SENATORS;TAX_FNCACT_STATE_SENATORS;DELAY;TAX_DISEASE;TAX_DISEASE_TRAUMA;GENERAL_HEALTH;CRISISLEX_CRISISLEXREC;ROAD_INCIDENT;MANMADE_DISASTER;MANMADE_DISASTER_CAR_CRASH;SOC_TRAFFICACCIDENT;TAX_FNCACT_WOMAN;TAX_FNCACT_LEGISLATORS;TAX_FNCACT_EMPLOYEES;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_SENECA;WB_840_JUSTICE;WB_2473_DIPLOMACY_AND_NEGOTIATIONS;WB_939_NEGOTIATION;WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT;WB_936_ALTERNATIVE_DISPUTE_RESOLUTION;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;WB_843_DISPUTE_RESOLUTION;WB_2471_PEACEKEEPING;TAX_FNCACT_ADVERTISERS;EPU_CATS_TAXES;WB_2089_ETHICS_AND_CODES_OF_CONDUCT;NATURAL_DISASTER;NATURAL_DISASTER_ICE;WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;WB_652_ICT_APPLICATIONS;WB_662_SOCIAL_MEDIA;WB_658_ENTERPRISE_APPLICATIONS;WB_2387_BROADCASTING_INDUSTRY_AND_MARKETS;,"['facebook inc', 'instagram', 'google']","EDUCATION,MANMADE_DISASTER_IMPLIED,LEGISLATION,DELAY,TAX_DISEASE,GENERAL_HEALTH,ROAD_INCIDENT,MANMADE_DISASTER,NATURAL_DISASTER",2023-04-17 12:15:00
5,76,20230417121500,http://www.itnewsonline.com/BusinessWire/Virgin-Media-O2-Selects-Mavenir-for-its-Open-RAN-Deployment/30725,3.2033426183844,WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;EPU_ECONOMY_HISTORIC;MEDIA_MSM;TAX_FNCACT;TAX_FNCACT_VENDOR;CRISISLEX_T11_UPDATESSYMPATHY;USPEC_POLITICS_GENERAL1;TAX_FNCACT_CHIEF;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_OFFICER;TAX_FNCACT_OFFICER;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_KOHLI;LEADER;TAX_FNCACT_PRESIDENT;TAX_FNCACT_CEO;TECH_AUTOMATION;TAX_FNCACT_VICE_PRESIDENT;SCIENCE;SOC_INNOVATION;UNGP_FORESTS_RIVERS_OCEANS;TAX_FNCACT_EDITORS;WB_286_TELECOMMUNICATIONS_AND_BROADBAND_ACCESS;WB_2329_ACCESS_AND_CONNECTIVITY;WB_291_BROADBAND_NETWORKS;WB_2601_TRADE_LINKAGES_SPILLOVERS_AND_CONNECTIVITY;WB_772_TRADE_FACILITATION_AND_LOGISTICS;WB_699_URBAN_DEVELOPMENT;WB_866_CONNECTIVITY_AND_LAGGING_REGIONS;WB_698_TRADE;WB_797_NATIONAL_URBAN_POLICIES;,['intel corp'],SCIENCE,2023-04-17 12:15:00
6,80,20230417121500,http://www.chilecomparte.cl/foros/topic/4005193-ispring-suite-1120-build-8-x64/,2.75387263339071,UNGP_FORESTS_RIVERS_OCEANS;TAX_FNCACT;TAX_FNCACT_STUDENTS;TAX_FNCACT_EMPLOYEES;TAX_FNCACT_GUIDE;WB_1467_EDUCATION_FOR_ALL;WB_470_EDUCATION;WB_2131_EMPLOYABILITY_SKILLS_AND_JOBS;WB_1484_EDUCATION_SKILLS_DEVELOPMENT_AND_LABOR_MARKET;PUBLIC_TRANSPORT;TAX_FNCACT_REPRESENTATIVES;TAX_FNCACT_EDITOR;WB_2670_JOBS;ECON_STOCKMARKET;MEDICAL;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_HOSPITALS;EDUCATION;,['microsoft corp'],"PUBLIC_TRANSPORT,ECON_STOCKMARKET,MEDICAL,EDUCATION",2023-04-17 12:15:00
7,85,20230417121500,https://www.ynetnews.com/culture/article/skcgi9cm3,3.25318246110325,WB_2937_SILVER;WB_507_ENERGY_AND_EXTRACTIVES;WB_895_MINING_SYSTEMS;WB_1699_METAL_ORE_MINING;TAX_ETHNICITY;TAX_ETHNICITY_BLACK;TAX_FNCACT;TAX_FNCACT_QUEEN;TAX_FNCACT_WOMEN;LEADER;TAX_FNCACT_GOVERNORS;TAX_FNCACT_PRINCESS;TAX_FNCACT_GENTLEMEN;KILL;CRISISLEX_T03_DEAD;TAX_DISEASE;TAX_DISEASE_COVID;TAX_FNCACT_DESIGNER;TAX_FNCACT_EDITOR;,"['facebook inc', 'twitter inc']","TAX_ETHNICITY,KILL,TAX_DISEASE",2023-04-17 12:15:00
8,86,20230417121500,https://www.prnewswire.com/news-releases/willow-innovations-celebrates-mothers-day-with-its-biggest-promotional-event-of-the-year-offering-25-off-willow-pump-bundles-301798446.html,3.92491467576792,TAX_FOODSTAPLES;TAX_FOODSTAPLES_MILK;ENV_OIL;TAX_FNCACT;TAX_FNCACT_WOMEN;MEDIA_SOCIAL;WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;,"['best buy co inc', 'facebook inc']","TAX_FOODSTAPLES,ENV_OIL",2023-04-17 12:15:00
9,98,20230417121500,https://paperpk.com/company/school-of-health-sciences_14337,6.12244897959184,EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_SCHOOL;GENERAL_HEALTH;MEDICAL;WB_2670_JOBS;WB_1467_EDUCATION_FOR_ALL;WB_470_EDUCATION;WB_2131_EMPLOYABILITY_SKILLS_AND_JOBS;WB_1484_EDUCATION_SKILLS_DEVELOPMENT_AND_LABOR_MARKET;MEDIA_MSM;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_2048_COMPENSATION_CAREERS_AND_INCENTIVES;WB_723_PUBLIC_ADMINISTRATION;WB_724_HUMAN_RESOURCES_FOR_PUBLIC_SECTOR;,['express scripts holding co'],"EDUCATION,GENERAL_HEALTH,MEDICAL",2023-04-17 12:15:00
